evaluation_type,model_name,dataset,CFG,CCFG,SSIM,PSNR,MSE,COS,MSE-DPL,MSE-ISTD,Cos-DPL,Cos-ISTD,interpolation_pair
image_quality,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,1.0,1.0,nan,17.780010,0.818764,0.191271,nan,nan,nan,nan,nan
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003557,0.002608,0.005315,0.004176,admiral_to_cabbage_butterly
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002483,0.001117,0.004877,0.003326,monarch_to_admiral_butterfly
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003535,0.002050,0.005474,0.004363,siamese_to_persian_cat
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002833,0.001480,0.004501,0.002580,red_panda_to_giant_panda
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003771,0.003131,0.006895,0.004224,pembroke_corgi_to_cardigan_corgi
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002849,0.001514,0.006408,0.003715,husky_to_doberman
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002982,0.001733,0.005857,0.003687,grey_to_white_wolf
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002428,0.001143,0.006693,0.003395,horse_to_zebra
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002048,0.000877,0.005159,0.002278,camel_to_impala
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003386,0.002333,0.005186,0.003178,lion_to_tiger
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002717,0.001841,0.006595,0.003618,snow_leopard_to_leopard
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.004467,0.003960,0.006820,0.005286,brown_to_icebear
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002941,0.001737,0.005150,0.002718,gibbon_to_orangutan
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002624,0.001430,0.006225,0.003577,lorikeet_to_peacock
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003724,0.001877,0.005677,0.003531,macaw_to_toucan
smoothness,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.002047,0.001431,0.005859,0.003235,penguin_to_cockatoo
smoothness_average,Beta-VAE-0.20x1.00x_0.0001b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.003025,0.001891,0.005793,0.003555,ALL_PAIRS
