evaluation_type,model_name,dataset,CFG,CCFG,SSIM,PSNR,MSE,COS,MSE-DPL,MSE-ISTD,Cos-DPL,Cos-ISTD,interpolation_pair
image_quality,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,1.0,1.0,nan,19.939163,0.509896,0.402205,nan,nan,nan,nan,nan
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.021268,0.012827,0.023466,0.019401,admiral_to_cabbage_butterly
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.019567,0.010840,0.023172,0.014784,monarch_to_admiral_butterfly
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.018253,0.010633,0.021796,0.017213,siamese_to_persian_cat
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.019715,0.009216,0.022285,0.011971,red_panda_to_giant_panda
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.021540,0.012821,0.027842,0.017624,pembroke_corgi_to_cardigan_corgi
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.019697,0.009403,0.028443,0.018161,husky_to_doberman
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.021440,0.013420,0.028179,0.019098,grey_to_white_wolf
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.024029,0.012640,0.035153,0.020635,horse_to_zebra
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.018436,0.009431,0.027169,0.014516,camel_to_impala
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.020528,0.010676,0.024506,0.014262,lion_to_tiger
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.019453,0.009381,0.031961,0.016047,snow_leopard_to_leopard
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.022632,0.016026,0.027314,0.019256,brown_to_icebear
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.022184,0.012708,0.025842,0.016039,gibbon_to_orangutan
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.020236,0.011274,0.030451,0.019368,lorikeet_to_peacock
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.021686,0.011229,0.023093,0.015057,macaw_to_toucan
smoothness,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.018754,0.009110,0.029671,0.016177,penguin_to_cockatoo
smoothness_average,Beta-VAE-0.50x1.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.020589,0.011352,0.026896,0.016851,ALL_PAIRS
