evaluation_type,model_name,dataset,CFG,CCFG,SSIM,PSNR,MSE,COS,MSE-DPL,MSE-ISTD,Cos-DPL,Cos-ISTD,interpolation_pair
image_quality,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,1.0,1.0,nan,18.281982,0.895987,0.279768,nan,nan,nan,nan,nan
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000671,0.000369,0.003636,0.000758,admiral_to_cabbage_butterly
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000621,0.000339,0.003696,0.000835,monarch_to_admiral_butterfly
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000642,0.000402,0.003635,0.000952,siamese_to_persian_cat
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000692,0.000511,0.003714,0.001150,red_panda_to_giant_panda
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000528,0.000196,0.003271,0.000485,pembroke_corgi_to_cardigan_corgi
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000650,0.000371,0.003719,0.000902,husky_to_doberman
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000657,0.000473,0.003690,0.001128,grey_to_white_wolf
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000572,0.000277,0.003392,0.000755,horse_to_zebra
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000719,0.000529,0.003883,0.001213,camel_to_impala
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000593,0.000251,0.003475,0.000579,lion_to_tiger
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000573,0.000333,0.003402,0.000857,snow_leopard_to_leopard
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000629,0.000406,0.003546,0.000992,brown_to_icebear
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000666,0.000402,0.003705,0.000891,gibbon_to_orangutan
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000730,0.000607,0.003774,0.001297,lorikeet_to_peacock
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000746,0.000637,0.004003,0.001380,macaw_to_toucan
smoothness,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000652,0.000494,0.003637,0.001130,penguin_to_cockatoo
smoothness_average,Beta-VAE-0.00x0.00x_0.1b_imagenet256-dataset-T000006,imagenet256-dataset-T000006,nan,nan,nan,nan,nan,nan,0.000646,0.000412,0.003636,0.000957,ALL_PAIRS
